FILE,LABEL,VALUE
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetCashProvidedByUsedInInvestingActivities_d30cd2b6-ac38-43e0-b3a9-2808d175b07f
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_NetCashProvidedByUsedInInvestingActivities
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_PaymentsToAcquireProductiveAssets_437a3114-6da0-449a-a2b7-fa5976760fcc
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_PaymentsToAcquireProductiveAssets
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInInvestingActivities_d30cd2b6-ac38-43e0-b3a9-2808d175b07f
calculation,to,loc_us-gaap_PaymentsToAcquireProductiveAssets_437a3114-6da0-449a-a2b7-fa5976760fcc
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_amzn_ProceedsFromPropertyPlantAndEquipmentSalesAndIncentives_b0c47d73-332d-4f58-8568-036dc433fd3d
calculation,href,amzn-20250630.xsd#amzn_ProceedsFromPropertyPlantAndEquipmentSalesAndIncentives
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInInvestingActivities_d30cd2b6-ac38-43e0-b3a9-2808d175b07f
calculation,to,loc_amzn_ProceedsFromPropertyPlantAndEquipmentSalesAndIncentives_b0c47d73-332d-4f58-8568-036dc433fd3d
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired_b79d9cf7-6814-4476-8ead-c45cf9153aab
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired
calculation,item_type,calculation_calculationArc
calculation,order,3
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInInvestingActivities_d30cd2b6-ac38-43e0-b3a9-2808d175b07f
calculation,to,loc_us-gaap_PaymentsToAcquireBusinessesNetOfCashAcquired_b79d9cf7-6814-4476-8ead-c45cf9153aab
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_ProceedsFromSaleAndMaturityOfMarketableSecurities_11da9e00-23a6-4f2d-932f-5dc49005941d
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_ProceedsFromSaleAndMaturityOfMarketableSecurities
calculation,item_type,calculation_calculationArc
calculation,order,4
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInInvestingActivities_d30cd2b6-ac38-43e0-b3a9-2808d175b07f
calculation,to,loc_us-gaap_ProceedsFromSaleAndMaturityOfMarketableSecurities_11da9e00-23a6-4f2d-932f-5dc49005941d
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_PaymentsToAcquireMarketableSecurities_6ae97961-943d-4b04-acd0-18c47af5eb6a
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_PaymentsToAcquireMarketableSecurities
calculation,item_type,calculation_calculationArc
calculation,order,5
calculation,weight,-1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInInvestingActivities_d30cd2b6-ac38-43e0-b3a9-2808d175b07f
calculation,to,loc_us-gaap_PaymentsToAcquireMarketableSecurities_6ae97961-943d-4b04-acd0-18c47af5eb6a
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_9ca3a127-f4e8-409f-b95d-3aceac63258b
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_NetCashProvidedByUsedInOperatingActivities
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_NetIncomeLoss_c6f415af-d268-4214-b96e-fed1c351eac5
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_NetIncomeLoss
calculation,item_type,calculation_calculationArc
calculation,order,1
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
calculation,from,loc_us-gaap_NetCashProvidedByUsedInOperatingActivities_9ca3a127-f4e8-409f-b95d-3aceac63258b
calculation,to,loc_us-gaap_NetIncomeLoss_c6f415af-d268-4214-b96e-fed1c351eac5
calculation,type,arc
calculation,item_type,calculation_loc
calculation,type,locator
calculation,label,loc_us-gaap_DepreciationDepletionAndAmortization_3160c538-b6c9-4c23-ba32-b26b567642b3
calculation,href,https://xbrl.fasb.org/us-gaap/2025/elts/us-gaap-2025.xsd#us-gaap_DepreciationDepletionAndAmortization
calculation,item_type,calculation_calculationArc
calculation,order,2
calculation,weight,1.0
calculation,arcrole,http://www.xbrl.org/2003/arcrole/summation-item
