ID,CATEGORY,LABEL,VALUE
us-gaap_SignificantAccountingPoliciesTextBlock,"('label_id', 'lab_us-gaap_SignificantAccountingPoliciesTextBlock')",None
us-gaap_SignificantAccountingPoliciesTextBlock,"('location_id', 'loc_us-gaap_SignificantAccountingPoliciesTextBlock')",None
us-gaap_SignificantAccountingPoliciesTextBlock,"('us_gaap_id', 'us-gaap;SignificantAccountingPoliciesTextBlock')",None
us-gaap_SignificantAccountingPoliciesTextBlock,label_label,item_type,label_label
us-gaap_SignificantAccountingPoliciesTextBlock,label_label,id,lab_us-gaap_SignificantAccountingPoliciesTextBlock_label_en-US
us-gaap_SignificantAccountingPoliciesTextBlock,label_label,label,lab_us-gaap_SignificantAccountingPoliciesTextBlock
us-gaap_SignificantAccountingPoliciesTextBlock,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_SignificantAccountingPoliciesTextBlock,label_label,type,resource
us-gaap_SignificantAccountingPoliciesTextBlock,label_label,lang,en-US
amzn_A2014SeniorUnsecuredNotesMember,"('label_id', 'lab_amzn_A2014SeniorUnsecuredNotesMember')",None
amzn_A2014SeniorUnsecuredNotesMember,"('location_id', 'loc_amzn_A2014SeniorUnsecuredNotesMember')",None
amzn_A2014SeniorUnsecuredNotesMember,"('us_gaap_id', 'amzn;A2014SeniorUnsecuredNotesMember')",None
amzn_A2014SeniorUnsecuredNotesMember,label_label,item_type,label_label
amzn_A2014SeniorUnsecuredNotesMember,label_label,id,lab_amzn_A2014SeniorUnsecuredNotesMember_documentation_en-US
amzn_A2014SeniorUnsecuredNotesMember,label_label,label,lab_amzn_A2014SeniorUnsecuredNotesMember
amzn_A2014SeniorUnsecuredNotesMember,label_label,role,http://www.xbrl.org/2003/role/documentation
amzn_A2014SeniorUnsecuredNotesMember,label_label,type,resource
amzn_A2014SeniorUnsecuredNotesMember,label_label,lang,en-US
amzn_TechnologyAndInfrastructureExpense,"('label_id', 'lab_amzn_TechnologyAndInfrastructureExpense')",None
amzn_TechnologyAndInfrastructureExpense,"('location_id', 'loc_amzn_TechnologyAndInfrastructureExpense')",None
amzn_TechnologyAndInfrastructureExpense,"('us_gaap_id', 'amzn;TechnologyAndInfrastructureExpense')",None
amzn_TechnologyAndInfrastructureExpense,label_label,item_type,label_label
amzn_TechnologyAndInfrastructureExpense,label_label,id,lab_amzn_TechnologyAndInfrastructureExpense_documentation_en-US
amzn_TechnologyAndInfrastructureExpense,label_label,label,lab_amzn_TechnologyAndInfrastructureExpense
amzn_TechnologyAndInfrastructureExpense,label_label,role,http://www.xbrl.org/2003/role/documentation
amzn_TechnologyAndInfrastructureExpense,label_label,type,resource
amzn_TechnologyAndInfrastructureExpense,label_label,lang,en-US
srt_RangeMember,"('label_id', 'lab_srt_RangeMember')",None
srt_RangeMember,"('location_id', 'loc_srt_RangeMember')",None
srt_RangeMember,"('us_gaap_id', 'srt;RangeMember')",None
srt_RangeMember,label_label,item_type,label_label
srt_RangeMember,label_label,id,lab_srt_RangeMember_label_en-US
srt_RangeMember,label_label,label,lab_srt_RangeMember
srt_RangeMember,label_label,role,http://www.xbrl.org/2003/role/label
srt_RangeMember,label_label,type,resource
srt_RangeMember,label_label,lang,en-US
us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList,"('label_id', 'lab_us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList')",None
us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList,"('location_id', 'loc_us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList')",None
us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList,"('us_gaap_id', 'us-gaap;OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList')",None
us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList,label_label,item_type,label_label
us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList,label_label,id,lab_us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList_label_en-US
us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList,label_label,label,lab_us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList
us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList,label_label,type,resource
us-gaap_OperatingLeaseLiabilityCurrentStatementOfFinancialPositionExtensibleList,label_label,lang,en-US
us-gaap_RestrictedCashCurrent,"('label_id', 'lab_us-gaap_RestrictedCashCurrent')",None
us-gaap_RestrictedCashCurrent,"('location_id', 'loc_us-gaap_RestrictedCashCurrent')",None
us-gaap_RestrictedCashCurrent,"('us_gaap_id', 'us-gaap;RestrictedCashCurrent')",None
us-gaap_RestrictedCashCurrent,label_label,item_type,label_label
us-gaap_RestrictedCashCurrent,label_label,id,lab_us-gaap_RestrictedCashCurrent_label_en-US
us-gaap_RestrictedCashCurrent,label_label,label,lab_us-gaap_RestrictedCashCurrent
us-gaap_RestrictedCashCurrent,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_RestrictedCashCurrent,label_label,type,resource
us-gaap_RestrictedCashCurrent,label_label,lang,en-US
ecd_AwardTmgPredtrmndFlag,"('label_id', 'lab_ecd_AwardTmgPredtrmndFlag')",None
ecd_AwardTmgPredtrmndFlag,"('location_id', 'loc_ecd_AwardTmgPredtrmndFlag')",None
ecd_AwardTmgPredtrmndFlag,"('us_gaap_id', 'ecd;AwardTmgPredtrmndFlag')",None
ecd_AwardTmgPredtrmndFlag,label_label,item_type,label_label
ecd_AwardTmgPredtrmndFlag,label_label,id,lab_ecd_AwardTmgPredtrmndFlag_label_en-US
ecd_AwardTmgPredtrmndFlag,label_label,label,lab_ecd_AwardTmgPredtrmndFlag
ecd_AwardTmgPredtrmndFlag,label_label,role,http://www.xbrl.org/2003/role/label
ecd_AwardTmgPredtrmndFlag,label_label,type,resource
ecd_AwardTmgPredtrmndFlag,label_label,lang,en-US
us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,"('label_id', 'lab_us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear')",None
us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,"('location_id', 'loc_us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear')",None
us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,"('us_gaap_id', 'us-gaap;LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear')",None
us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,label_label,item_type,label_label
us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,label_label,id,lab_us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear_label_en-US
us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,label_label,label,lab_us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear
us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,label_label,type,resource
us-gaap_LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,label_label,lang,en-US
us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis,"('label_id', 'lab_us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis')",None
us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis,"('location_id', 'loc_us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis')",None
us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis,"('us_gaap_id', 'us-gaap;RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis')",None
us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis,label_label,item_type,label_label
us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis,label_label,id,lab_us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis_label_en-US
us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis,label_label,label,lab_us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis
us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis,label_label,type,resource
us-gaap_RevenueRemainingPerformanceObligationExpectedTimingOfSatisfactionStartDateAxis,label_label,lang,en-US
dei_EntityFileNumber,"('label_id', 'lab_dei_EntityFileNumber')",None
dei_EntityFileNumber,"('location_id', 'loc_dei_EntityFileNumber')",None
dei_EntityFileNumber,"('us_gaap_id', 'dei;EntityFileNumber')",None
dei_EntityFileNumber,label_label,item_type,label_label
dei_EntityFileNumber,label_label,id,lab_dei_EntityFileNumber_label_en-US
dei_EntityFileNumber,label_label,label,lab_dei_EntityFileNumber
dei_EntityFileNumber,label_label,role,http://www.xbrl.org/2003/role/label
dei_EntityFileNumber,label_label,type,resource
dei_EntityFileNumber,label_label,lang,en-US
us-gaap_AdditionalPaidInCapitalMember,"('label_id', 'lab_us-gaap_AdditionalPaidInCapitalMember')",None
us-gaap_AdditionalPaidInCapitalMember,"('location_id', 'loc_us-gaap_AdditionalPaidInCapitalMember')",None
us-gaap_AdditionalPaidInCapitalMember,"('us_gaap_id', 'us-gaap;AdditionalPaidInCapitalMember')",None
us-gaap_AdditionalPaidInCapitalMember,label_label,item_type,label_label
us-gaap_AdditionalPaidInCapitalMember,label_label,id,lab_us-gaap_AdditionalPaidInCapitalMember_label_en-US
us-gaap_AdditionalPaidInCapitalMember,label_label,label,lab_us-gaap_AdditionalPaidInCapitalMember
us-gaap_AdditionalPaidInCapitalMember,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_AdditionalPaidInCapitalMember,label_label,type,resource
us-gaap_AdditionalPaidInCapitalMember,label_label,lang,en-US
us-gaap_IncomeLossFromEquityMethodInvestments,"('label_id', 'lab_us-gaap_IncomeLossFromEquityMethodInvestments')",None
us-gaap_IncomeLossFromEquityMethodInvestments,"('location_id', 'loc_us-gaap_IncomeLossFromEquityMethodInvestments')",None
us-gaap_IncomeLossFromEquityMethodInvestments,"('us_gaap_id', 'us-gaap;IncomeLossFromEquityMethodInvestments')",None
us-gaap_IncomeLossFromEquityMethodInvestments,label_label,item_type,label_label
us-gaap_IncomeLossFromEquityMethodInvestments,label_label,id,lab_us-gaap_IncomeLossFromEquityMethodInvestments_label_en-US
us-gaap_IncomeLossFromEquityMethodInvestments,label_label,label,lab_us-gaap_IncomeLossFromEquityMethodInvestments
us-gaap_IncomeLossFromEquityMethodInvestments,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_IncomeLossFromEquityMethodInvestments,label_label,type,resource
us-gaap_IncomeLossFromEquityMethodInvestments,label_label,lang,en-US
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,"('label_id', 'lab_us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax')",None
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,"('location_id', 'loc_us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax')",None
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,"('us_gaap_id', 'us-gaap;OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax')",None
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,label_label,item_type,label_label
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,label_label,id,lab_us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax_label_en-US
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,label_label,label,lab_us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,label_label,type,resource
us-gaap_OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,label_label,lang,en-US
ecd_TabularListTableTextBlock,"('label_id', 'lab_ecd_TabularListTableTextBlock')",None
ecd_TabularListTableTextBlock,"('location_id', 'loc_ecd_TabularListTableTextBlock')",None
ecd_TabularListTableTextBlock,"('us_gaap_id', 'ecd;TabularListTableTextBlock')",None
ecd_TabularListTableTextBlock,label_label,item_type,label_label
ecd_TabularListTableTextBlock,label_label,id,lab_ecd_TabularListTableTextBlock_label_en-US
ecd_TabularListTableTextBlock,label_label,label,lab_ecd_TabularListTableTextBlock
ecd_TabularListTableTextBlock,label_label,role,http://www.xbrl.org/2003/role/label
ecd_TabularListTableTextBlock,label_label,type,resource
ecd_TabularListTableTextBlock,label_label,lang,en-US
us-gaap_LeasesAbstract,"('label_id', 'lab_us-gaap_LeasesAbstract')",None
us-gaap_LeasesAbstract,"('location_id', 'loc_us-gaap_LeasesAbstract')",None
us-gaap_LeasesAbstract,"('us_gaap_id', 'us-gaap;LeasesAbstract')",None
us-gaap_LeasesAbstract,label_label,item_type,label_label
us-gaap_LeasesAbstract,label_label,id,lab_us-gaap_LeasesAbstract_label_en-US
us-gaap_LeasesAbstract,label_label,label,lab_us-gaap_LeasesAbstract
us-gaap_LeasesAbstract,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_LeasesAbstract,label_label,type,resource
us-gaap_LeasesAbstract,label_label,lang,en-US
us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock,"('label_id', 'lab_us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock')",None
us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock,"('location_id', 'loc_us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock')",None
us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock,"('us_gaap_id', 'us-gaap;NewAccountingPronouncementsPolicyPolicyTextBlock')",None
us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock,label_label,item_type,label_label
us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock,label_label,id,lab_us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock_label_en-US
us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock,label_label,label,lab_us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock
us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock,label_label,type,resource
us-gaap_NewAccountingPronouncementsPolicyPolicyTextBlock,label_label,lang,en-US
us-gaap_IncreaseDecreaseInAccountsPayable,"('label_id', 'lab_us-gaap_IncreaseDecreaseInAccountsPayable')",None
us-gaap_IncreaseDecreaseInAccountsPayable,"('location_id', 'loc_us-gaap_IncreaseDecreaseInAccountsPayable')",None
us-gaap_IncreaseDecreaseInAccountsPayable,"('us_gaap_id', 'us-gaap;IncreaseDecreaseInAccountsPayable')",None
us-gaap_IncreaseDecreaseInAccountsPayable,label_label,item_type,label_label
us-gaap_IncreaseDecreaseInAccountsPayable,label_label,id,lab_us-gaap_IncreaseDecreaseInAccountsPayable_label_en-US
us-gaap_IncreaseDecreaseInAccountsPayable,label_label,label,lab_us-gaap_IncreaseDecreaseInAccountsPayable
us-gaap_IncreaseDecreaseInAccountsPayable,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_IncreaseDecreaseInAccountsPayable,label_label,type,resource
us-gaap_IncreaseDecreaseInAccountsPayable,label_label,lang,en-US
us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('label_id', 'lab_us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax')",None
us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('location_id', 'loc_us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax')",None
us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,"('us_gaap_id', 'us-gaap;AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax')",None
us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,label_label,item_type,label_label
us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,label_label,id,lab_us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax_label_en-US
us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,label_label,label,lab_us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax
us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,label_label,type,resource
us-gaap_AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,label_label,lang,en-US
amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear,"('label_id', 'lab_amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear')",None
amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear,"('location_id', 'loc_amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear')",None
amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear,"('us_gaap_id', 'amzn;FinancingObligationsFutureMinimumPaymentsDueInOneYear')",None
amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear,label_label,item_type,label_label
amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear,label_label,id,lab_amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear_documentation_en-US
amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear,label_label,label,lab_amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear
amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear,label_label,role,http://www.xbrl.org/2003/role/documentation
amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear,label_label,type,resource
amzn_FinancingObligationsFutureMinimumPaymentsDueInOneYear,label_label,lang,en-US
ecd_TradingArrByIndTable,"('label_id', 'lab_ecd_TradingArrByIndTable')",None
ecd_TradingArrByIndTable,"('location_id', 'loc_ecd_TradingArrByIndTable')",None
ecd_TradingArrByIndTable,"('us_gaap_id', 'ecd;TradingArrByIndTable')",None
ecd_TradingArrByIndTable,label_label,item_type,label_label
ecd_TradingArrByIndTable,label_label,id,lab_ecd_TradingArrByIndTable_label_en-US
ecd_TradingArrByIndTable,label_label,label,lab_ecd_TradingArrByIndTable
ecd_TradingArrByIndTable,label_label,role,http://www.xbrl.org/2003/role/label
ecd_TradingArrByIndTable,label_label,type,resource
ecd_TradingArrByIndTable,label_label,lang,en-US
us-gaap_OtherCommitmentDueInSecondYear,"('label_id', 'lab_us-gaap_OtherCommitmentDueInSecondYear')",None
us-gaap_OtherCommitmentDueInSecondYear,"('location_id', 'loc_us-gaap_OtherCommitmentDueInSecondYear')",None
us-gaap_OtherCommitmentDueInSecondYear,"('us_gaap_id', 'us-gaap;OtherCommitmentDueInSecondYear')",None
us-gaap_OtherCommitmentDueInSecondYear,label_label,item_type,label_label
us-gaap_OtherCommitmentDueInSecondYear,label_label,id,lab_us-gaap_OtherCommitmentDueInSecondYear_label_en-US
us-gaap_OtherCommitmentDueInSecondYear,label_label,label,lab_us-gaap_OtherCommitmentDueInSecondYear
us-gaap_OtherCommitmentDueInSecondYear,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_OtherCommitmentDueInSecondYear,label_label,type,resource
us-gaap_OtherCommitmentDueInSecondYear,label_label,lang,en-US
us-gaap_EarningsPerShareBasic,"('label_id', 'lab_us-gaap_EarningsPerShareBasic')",None
us-gaap_EarningsPerShareBasic,"('location_id', 'loc_us-gaap_EarningsPerShareBasic')",None
us-gaap_EarningsPerShareBasic,"('us_gaap_id', 'us-gaap;EarningsPerShareBasic')",None
us-gaap_EarningsPerShareBasic,label_label,item_type,label_label
us-gaap_EarningsPerShareBasic,label_label,id,lab_us-gaap_EarningsPerShareBasic_label_en-US
us-gaap_EarningsPerShareBasic,label_label,label,lab_us-gaap_EarningsPerShareBasic
us-gaap_EarningsPerShareBasic,label_label,role,http://www.xbrl.org/2003/role/label
us-gaap_EarningsPerShareBasic,label_label,type,resource
us-gaap_EarningsPerShareBasic,label_label,lang,en-US
ecd_AdjToCompAxis,"('label_id', 'lab_ecd_AdjToCompAxis')",None
ecd_AdjToCompAxis,"('location_id', 'loc_ecd_AdjToCompAxis')",None
ecd_AdjToCompAxis,"('us_gaap_id', 'ecd;AdjToCompAxis')",None
ecd_AdjToCompAxis,label_label,item_type,label_label
ecd_AdjToCompAxis,label_label,id,lab_ecd_AdjToCompAxis_label_en-US
ecd_AdjToCompAxis,label_label,label,lab_ecd_AdjToCompAxis
ecd_AdjToCompAxis,label_label,role,http://www.xbrl.org/2003/role/label
ecd_AdjToCompAxis,label_label,type,resource
ecd_AdjToCompAxis,label_label,lang,en-US
amzn_LeaseLiabilityUndiscountedExcessAmount,"('label_id', 'lab_amzn_LeaseLiabilityUndiscountedExcessAmount')",None
amzn_LeaseLiabilityUndiscountedExcessAmount,"('location_id', 'loc_amzn_LeaseLiabilityUndiscountedExcessAmount')",None
amzn_LeaseLiabilityUndiscountedExcessAmount,"('us_gaap_id', 'amzn;LeaseLiabilityUndiscountedExcessAmount')",None
amzn_LeaseLiabilityUndiscountedExcessAmount,label_label,item_type,label_label
amzn_LeaseLiabilityUndiscountedExcessAmount,label_label,id,lab_amzn_LeaseLiabilityUndiscountedExcessAmount_documentation_en-US
amzn_LeaseLiabilityUndiscountedExcessAmount,label_label,label,lab_amzn_LeaseLiabilityUndiscountedExcessAmount
